"h","window","pI","D","fD","Het","RD","Q95","Q90","Qmax","U0","U20","U50","U80"
"0.005","49","0.06","0.19","0.04","0.04","0.02","0.02","0.02","0.02","0.07","0.11","0.04","1"
"0.005","50","0.05","0.1","0.03","0.01","0.03","0.08","0.08","0.08","0.04","0.05","0.03","1"
"0.005","51","0.06","0.3","0.03","0.05","0.05","0.07","0.07","0.06","0.1","0.13","0.05","1"
"0.005","52","0","0.29","0.03","0.04","0.04","0.07","0.07","0.06","0.09","0.1","0.07","1"
"0.005","53","0","0.26","0.03","0.05","0.04","0.07","0.07","0.06","0.1","0.1","0.06","1"
"0.005","54","0","0.3","0.03","0.05","0.06","0.07","0.07","0.06","0.12","0.1","0.06","1"
"0.005","55","0","0.32","0.03","0.06","0.04","0.07","0.07","0.06","0.09","0.11","0.04","1"
"0.005","56","0","0.29","0.04","0.05","0.06","0.07","0.07","0.06","0.09","0.08","0.08","1"
"0.005","57","0","0.32","0.03","0.04","0.04","0.07","0.07","0.06","0.12","0.11","0.03","1"
"0.005","58","0","0.33","0.04","0.06","0.06","0.07","0.07","0.06","0.11","0.12","0.07","1"
"0.005","59","0","0.29","0.04","0.05","0.04","0.07","0.07","0.06","0.12","0.11","0.07","1"
"0.005","60","0","0.29","0.03","0.03","0.06","0.07","0.07","0.06","0.09","0.1","0.05","1"
"0.005","61","0","0.3","0.03","0.04","0.05","0.07","0.07","0.06","0.12","0.11","0.06","1"
"0.005","62","0","0.3","0.03","0.05","0.03","0.07","0.07","0.06","0.1","0.09","0.07","1"
"0.005","63","0","0.32","0.04","0.05","0.03","0.07","0.07","0.06","0.13","0.12","0.06","1"
"0.005","64","0","0.29","0.04","0.05","0.05","0.07","0.07","0.06","0.11","0.12","0.07","1"
"0.005","65","0","0.29","0.03","0.04","0.05","0.07","0.07","0.06","0.1","0.08","0.05","1"
"0.005","66","0.06","0.24","0.04","0.04","0.04","0.07","0.07","0.06","0.07","0.1","0.06","1"
"0.005","67","0.07","0.12","0.03","0.01","0.05","0.06","0.06","0.07","0.05","0.06","0.05","1"
"0.005","68","0.09","0.33","0.03","0.01","0.06","0.07","0.07","0.07","0.03","0.06","0.07","1"
"0.005","69","0","0.37","0.04","0.03","0.08","0.07","0.07","0.07","0.05","0.1","0.05","1"
"0.005","70","0","0.35","0.04","0.03","0.09","0.07","0.07","0.07","0.06","0.08","0.08","1"
"0.005","71","0","0.37","0.06","0.02","0.08","0.07","0.07","0.07","0.06","0.06","0.07","1"
"0.005","72","0.07","0.21","0.05","0","0.06","0.08","0.07","0.08","0.09","0.1","0.05","1"
"0.005","73","0.09","0.29","0.06","0.02","0.07","0.09","0.09","0.09","0.13","0.1","0.07","1"
"0.005","74","0.09","0.27","0.06","0.01","0.08","0.1","0.09","0.1","0.05","0.05","0.09","1"
"0.005","75","0.11","0.05","0.07","0","0.08","0.13","0.13","0.13","0.04","0.05","0.09","1"
"0.005","76","0","0.26","0.1","0.06","0.12","0.1","0.1","0.1","0.08","0.09","0.1","1"
"0.005","77","0","0.25","0.11","0.07","0.12","0.1","0.1","0.1","0.08","0.12","0.09","1"
"0.005","78","0.08","0.04","0.05","0","0.06","0.13","0.12","0.14","0.06","0.05","0.07","1"
"0.005","79","0.07","0.19","0.06","0.01","0.05","0.07","0.06","0.05","0.06","0.06","0.06","1"
"0.005","80","0.08","0.26","0.06","0.03","0.05","0.08","0.08","0.08","0.09","0.05","0.07","1"
"0.005","81","0.05","0.06","0.04","0.01","0.04","0.08","0.08","0.09","0.05","0.03","0.05","1"
"0.005","82","0.07","0.21","0.06","0.02","0.04","0.06","0.06","0.06","0.07","0.06","0.06","1"
"0.005","83","0.04","0.05","0.02","0.02","0.03","0.1","0.09","0.1","0.04","0.08","0.07","1"
"0.005","84","0.06","0.15","0.01","0.03","0.03","0.08","0.07","0.08","0.07","0.06","0.06","1"
"0.005","85","0.05","0.22","0.01","0.02","0.06","0.05","0.04","0.03","0.07","0.06","0.07","1"
"0.005","86","0.05","0.33","0.02","0.03","0.04","0.05","0.05","0.04","0.1","0.09","0.04","1"
"0.005","87","0.03","0.34","0.02","0.03","0.03","0.04","0.04","0.03","0.09","0.04","0.06","1"
"0.005","88","0.07","0.12","0.04","0","0.04","0.05","0.05","0.05","0.03","0.05","0.08","1"
"0.005","89","0.06","0.13","0.02","0","0.05","0.07","0.06","0.07","0.06","0.02","0.06","1"
"0.005","90","0.04","0.18","0.03","0.01","0.04","0.05","0.05","0.05","0.06","0.04","0.06","1"
"0.005","91","0.03","0.22","0.05","0.02","0.04","0.02","0.02","0.02","0.03","0.03","0.04","1"
"0.005","92","0.03","0.31","0.03","0","0.04","0.04","0.04","0.05","0.04","0.03","0.06","1"
"0.005","93","0.05","0.27","0.05","0.02","0.05","0.05","0.05","0.05","0.04","0.02","0.06","1"
"0.005","94","0.06","0.26","0.04","0.01","0.06","0.06","0.06","0.06","0.04","0.03","0.03","1"
"0.005","95","0.07","0.23","0.06","0.02","0.06","0.06","0.06","0.06","0.06","0.05","0.07","1"
"0.005","96","0.07","0.21","0.03","0","0.05","0.06","0.06","0.06","0.06","0.07","0.05","1"
"0.005","97","0.07","0.23","0.05","0.01","0.05","0.05","0.05","0.05","0.08","0.05","0.04","1"
"0.005","98","0.08","0.3","0.04","0.01","0.03","0.05","0.05","0.05","0.1","0.08","0.03","1"
"0.005","99","0.08","0.22","0.04","0.01","0.05","0.05","0.05","0.05","0.08","0.11","0.05","1"
"0.01","1","0","0.3","0.03","0.03","0.03","0.02","0.02","0.02","0.11","0.11","0.02","1"
"0.01","2","0","0.31","0.03","0.03","0.02","0.02","0.02","0.02","0.09","0.07","0.04","1"
"0.01","3","0.02","0.21","0.01","0.05","0.03","0.03","0.03","0.02","0.12","0.09","0.05","1"
"0.01","4","0.04","0.28","0.03","0.05","0.04","0.02","0.02","0.02","0.15","0.12","0.06","1"
"0.01","5","0.05","0.24","0.01","0.06","0.01","0.03","0.03","0.03","0.15","0.09","0.05","1"
"0.01","6","0.05","0.25","0.02","0.05","0.03","0.03","0.03","0.03","0.07","0.08","0.06","1"
"0.01","7","0.05","0.22","0","0.04","0.03","0.03","0.03","0.03","0.04","0.02","0.05","1"
"0.01","8","0.04","0.14","0.02","0","0.01","0.02","0.02","0.02","0.07","0.03","0.03","1"
"0.01","9","0","0.42","0.04","0.02","0.03","0.02","0.02","0.01","0.08","0.07","0.03","1"
"0.01","10","0","0.42","0.03","0.02","0.01","0.02","0.02","0.01","0.05","0.05","0.04","1"
"0.01","11","0.03","0.22","0.04","0","0.03","0.02","0.02","0.02","0.06","0.05","0.04","1"
"0.01","12","0.03","0.28","0.03","0.02","0.03","0.02","0.02","0.01","0.07","0.07","0.03","1"
"0.01","13","0.02","0.22","0.01","0.01","0.02","0.03","0.03","0.03","0.07","0.05","0.02","1"
